hour,from_station,to_station,line,direction,passenger_count,capacity_utilization_percent
5,100,101,1,forward,429,10.21
5,100,99,1,backward,735,4.38
5,101,100,1,backward,822,4.89
5,101,102,1,forward,423,10.07
5,102,101,1,backward,1035,6.16
5,102,103,1,forward,423,10.07
5,103,102,1,backward,1053,6.27
5,103,104,1,forward,504,12.0
5,104,103,1,backward,1521,9.05
5,104,105,1,forward,453,10.79
5,105,104,1,backward,2025,12.05
5,105,106,1,forward,474,11.29
5,106,105,1,backward,2358,14.04
5,106,107,1,forward,408,9.71
5,107,106,1,backward,2907,17.3
5,107,108,1,forward,384,9.14
5,108,107,1,backward,3162,18.82
5,108,109,1,forward,345,8.21
5,109,108,1,backward,3135,18.66
5,109,132,1,forward,492,11.71
5,112,113,1,forward,399,9.5
5,112,132,1,backward,3468,20.64
5,113,112,1,backward,3528,21.0
5,113,114,1,forward,315,7.5
5,114,113,1,backward,3570,21.25
5,114,115,1,forward,282,6.71
5,115,114,1,backward,3624,21.57
5,115,116,1,forward,276,6.57
5,116,115,1,backward,3585,21.34
5,116,117,1,forward,228,5.43
5,117,116,1,backward,3285,19.55
5,117,118,1,forward,216,5.14
5,118,117,1,backward,2982,17.75
5,118,119,1,forward,180,4.29
5,119,118,1,backward,2523,15.02
5,119,120,1,forward,132,3.14
5,120,119,1,backward,2124,12.64
5,120,121,1,forward,84,2.0
5,121,120,1,backward,570,3.39
5,121,122,1,forward,75,1.79
5,122,121,1,backward,558,3.32
5,122,123,1,forward,57,1.36
5,123,122,1,backward,258,1.54
5,123,92,1,forward,54,1.29
5,132,109,1,backward,3042,18.11
5,132,112,1,forward,504,12.0
5,92,123,1,backward,231,1.38
5,95,96,1,forward,84,2.0
5,96,95,1,backward,264,1.57
5,96,97,1,forward,153,3.64
5,97,96,1,backward,384,2.29
5,97,98,1,forward,213,5.07
5,98,97,1,backward,501,2.98
5,98,99,1,forward,282,6.71
5,99,100,1,forward,318,7.57
5,99,98,1,backward,606,3.61
5,125,126,2,forward,2985,21.32
5,125,153,2,backward,612,4.37
5,126,125,2,backward,654,4.67
5,126,127,2,forward,3120,22.29
5,127,126,2,backward,702,5.01
5,127,128,2,forward,1461,10.44
5,128,127,2,backward,1044,7.46
5,128,129,2,forward,1188,8.49
5,129,128,2,backward,1158,8.27
5,129,130,2,forward,1419,10.14
5,130,129,2,backward,1110,7.93
5,130,131,2,forward,1404,10.03
5,131,130,2,backward,1149,8.21
5,131,132,2,forward,1395,9.96
5,132,131,2,backward,1206,8.61
5,132,133,2,forward,507,3.62
5,133,132,2,backward,1596,11.4
5,133,134,2,forward,507,3.62
5,134,133,2,backward,1608,11.49
5,134,135,2,forward,420,3.0
5,135,134,2,backward,1695,12.11
5,135,136,2,forward,507,3.62
5,136,135,2,backward,1704,12.17
5,136,137,2,forward,429,3.06
5,137,136,2,backward,2112,15.09
5,137,138,2,forward,447,3.19
5,138,137,2,backward,1974,14.1
5,138,139,2,forward,498,3.56
5,139,138,2,backward,1713,12.24
5,139,140,2,forward,495,3.54
5,140,139,2,backward,1602,11.44
5,140,141,2,forward,453,3.24
5,141,140,2,backward,1485,10.61
5,141,142,2,forward,399,2.85
5,142,141,2,backward,1356,9.69
5,142,143,2,forward,336,2.4
5,143,142,2,backward,1257,8.98
5,143,144,2,forward,303,2.16
5,144,143,2,backward,1083,7.74
5,144,145,2,forward,270,1.93
5,145,144,2,backward,756,5.4
5,153,125,2,forward,2853,20.38
5,104,182,3,backward,1320,11.0
5,104,183,3,forward,450,3.75
5,170,171,3,forward,81,0.68
5,171,170,3,backward,45,0.38
5,171,172,3,forward,186,1.55
5,172,171,3,backward,111,0.92
5,172,175,3,forward,246,2.05
5,175,172,3,backward,288,2.4
5,175,176,3,forward,372,3.1
5,176,175,3,backward,546,4.55
5,176,177,3,forward,402,3.35
5,177,176,3,backward,615,5.12
5,177,178,3,forward,429,3.57
5,178,177,3,backward,696,5.8
5,178,179,3,forward,453,3.77
5,179,178,3,backward,786,6.55
5,179,180,3,forward,534,4.45
5,180,179,3,backward,864,7.2
5,180,181,3,forward,597,4.98
5,181,180,3,backward,894,7.45
5,181,182,3,forward,603,5.03
5,182,104,3,forward,594,4.95
5,182,181,3,backward,1128,9.4
5,183,104,3,backward,2628,21.9
5,183,184,3,forward,387,3.23
5,184,183,3,backward,3489,29.07
5,184,185,3,forward,366,3.05
5,185,184,3,backward,3696,30.8
5,185,211,3,forward,288,2.4
5,186,211,3,backward,3948,32.9
5,186,247,3,forward,90,0.75
5,188,189,3,forward,117,0.97
5,188,247,3,backward,3975,33.12
5,189,188,3,backward,3801,31.67
5,189,190,3,forward,123,1.03
5,190,189,3,backward,3618,30.15
5,190,191,3,forward,123,1.03
5,191,190,3,backward,2859,23.82
5,191,192,3,forward,90,0.75
5,192,191,3,backward,2430,20.25
5,192,193,3,forward,72,0.6
5,193,192,3,backward,2181,18.18
5,193,194,3,forward,39,0.33
5,194,193,3,backward,1743,14.52
5,211,185,3,backward,4188,34.9
5,211,186,3,forward,96,0.8
5,247,186,3,backward,3963,33.02
5,247,188,3,forward,93,0.78
5,108,135,4,forward,585,4.18
5,108,212,4,backward,2046,14.61
5,127,208,4,backward,375,2.68
5,127,209,4,forward,4329,30.92
5,135,108,4,backward,2901,20.72
5,135,216,4,forward,429,3.06
5,154,201,4,backward,6,0.04
5,154,204,4,forward,15,0.11
5,201,154,4,forward,216,1.54
5,202,203,4,backward,207,1.48
5,202,206,4,forward,1512,10.8
5,203,202,4,forward,1512,10.8
5,203,205,4,backward,165,1.18
5,204,154,4,backward,42,0.3
5,204,205,4,forward,288,2.06
5,205,203,4,forward,1512,10.8
5,205,204,4,backward,105,0.75
5,206,202,4,backward,210,1.5
5,206,207,4,forward,2250,16.07
5,207,206,4,backward,372,2.66
5,207,208,4,forward,2580,18.43
5,208,127,4,forward,2631,18.79
5,208,207,4,backward,363,2.59
5,209,127,4,backward,888,6.34
5,209,210,4,forward,4185,29.89
